#,Book Title,ISBN,Product Form,Language,Applicant Type,Name of Publishing Agency/Publisher,Imprint,Name of Author/Editor,Publication Date
1748,Samanya Addhyan_CW_Solution_IAS(Editionnew),978-93-0924-145-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1749,Political Science_CW_Solution_IAS(Main)(Editionnew),978-93-0924-456-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1750,Class 12 Chemistry QB Inner ctc(Editionnew),978-93-0924-966-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1751,Political Science_CW_Solution_IAS(Main)(Editionnew),978-93-0924-456-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1752,Class 12 Chemistry QB Inner ctc(Editionnew),978-93-0924-966-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1753,Class-12 Mathematics ISC ChapterwiseTopicwise QB(Editionnew),978-93-0924-746-0,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1754,SEE_UPTU_2004English(Editionnew),978-93-0924-531-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1755,Worksheets Math Class 7 Final(Editionnew),978-93-0924-496-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1756,Untitled-23-1(Editionnew),978-93-0924-568-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1757,Biology (CBSE 12th Lab Manual) 1-96(Editionnew),978-93-0924-827-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1758,Class 11&12 English Paper-1 WS ISC(Editionnew),978-93-0924-385-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1759,Class 12 Bhautik Vigyan Chapter 8(Editionnew),978-93-0924-435-3,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1760,IAS Solved Paper Pre 2010 General Studies(Editionnew),978-93-0924-770-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1761,Class12_Physics_CBSE(Editionnew),978-93-0924-351-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1762,IES Mach_Engin_Solved Paper-1_2009(Editionnew),978-93-0924-031-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1763,Chemistry (CBSE 11th Lab Manual) 1-88(Editionnew),978-93-0924-838-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1764,Class 12 Biology CBSE Solved Paper 2009(Editionnew),978-93-0924-766-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1765,Reading and Writing Paper 1(Editionnew),978-93-0924-555-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1766,Class-12_Chemistry_Oswaal Study Material_Unit-11-14(Editionnew),978-93-0924-235-9,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1767,Class 12 human geography(Editionnew),978-93-0924-226-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1768,Class-12_Mathematics_Inner_QB_PUC_Karnataka_2018(Editionnew),978-93-0924-595-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1769,Class11 Accountancy QB_CBSE(Editionnew),978-93-0924-288-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1770,Class 9 QB Geography(Editionnew),978-93-0924-637-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1771,Class 10 Information Comm Tech SSC Maharashtra(Editionnew),978-93-0924-025-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1772,IAS 2010 Samanya Adhyann (Pre)(Editionnew),978-93-0924-213-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1773,Class-9 Biology QB SSLC Kerala(Editionnew),978-93-0924-794-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1774,Class10 Social Science Unsolved Paper CBSE(Editionnew),978-93-0924-387-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1775,chemistry 2(Editionnew),978-93-0924-357-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1776,"Class 12 Chemistry Solved Paper, 2009(Editionnew)",978-93-0924-465-0,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1777,Class10 Computer Applications ICSE QB(Editionnew),978-93-0924-017-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1778,Class10 English Lang Solved Paper 2019(Editionnew),978-93-0924-497-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1779,Class-12 Computer Science CBSE SQP(Editionnew),978-93-0924-724-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1780,Class 10 English CBSE(Editionnew),978-93-0924-853-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1781,Class 10 Science QB KSEEB SSLC(Editionnew),978-93-0924-959-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1782,PET2004_MP(Editionnew),978-93-0924-890-0,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1783,Nanophysics: Nanoparticles and Quantum Dots,978-93-0914-233-8,Hardback,English,Publisher,VENUS BOOKS,,Ved Vyas Trivedi,10/04/2026
1784,"Evolution, Cytology, and Genetics",978-93-0916-897-0,Hardback,English,Publisher,Random Publications LLP,,Avineetraj Mishra,10/04/2026
1785,Computer Programming : Python,978-93-5810-192-8,Address book,English,Author,M.VIJAYALAKSHMI,,M.VIJAYALAKSHMI,10/09/2026
1786,NGO and Government Role in Dryland Agriculture,978-93-0914-119-5,Hardback,English,Publisher,VENUS BOOKS,,Vedang Pandey,10/04/2026
1787,Emerging Technologies in IT and Management,978-93-0916-643-3,Hardback,English,Publisher,Random Publications LLP,,Vedprakashit Mishra,10/04/2026
1788,Globalization and Public Administration,978-93-0914-438-7,Hardback,English,Publisher,VENUS BOOKS,,Ved Prakash Bhatt,10/04/2026
1789,Cricket Encyclopedia,978-93-0916-309-8,Hardback,English,Publisher,Random Publications LLP,,Harshitanand Patil,10/04/2026
1790,Geo-Strategic Defence and Security,978-93-0914-644-2,Hardback,English,Publisher,VENUS BOOKS,,Vedant Shukla,10/04/2026
1791,European Defence Policies,978-93-0916-626-6,Hardback,English,Publisher,Random Publications LLP,,Lokmangal Shukla,10/04/2026
1792,Fundamentals of Banking Systems,978-93-0914-158-4,Hardback,English,Publisher,VENUS BOOKS,,Vinayak Pandey,10/04/2026
1793,Computer and IT Fundamentals,978-93-0916-591-7,Hardback,English,Publisher,Random Publications LLP,,Shivdutt Dwivedi,10/04/2026
1794,Fish Biology and Fisheries Management,978-93-0914-001-3,Hardback,English,Publisher,VENUS BOOKS,,Vaidik Upadhyay,10/04/2026
1795,Export-Import: Theory and Procedures,978-93-0914-218-5,Hardback,English,Publisher,VENUS BOOKS,,Vaibhav Tiwari,10/04/2026
1796,Structural Systems in Architecture,978-93-0916-411-8,Hardback,English,Publisher,Random Publications LLP,,Priyanshu Joshi,10/04/2026
1797,Environmental Pollution: Causes and Control,978-93-0914-176-8,Hardback,English,Publisher,VENUS BOOKS,,Udit Pandey,10/04/2026
1798,Global Governance and Human Rights,978-93-0916-307-4,Hardback,English,Publisher,Random Publications LLP,,Adirajendra Tripathi,10/04/2026
1799,Applied Linguistics and Vocabulary Studies,978-93-0914-254-3,Hardback,English,Publisher,VENUS BOOKS,,Uttam Bhatt,10/04/2026
1800,Globalization and Marketing Management,978-93-0916-327-2,Hardback,English,Publisher,Random Publications LLP,,Dakshatej Gautam,10/04/2026
1801,Service Marketing Management Encyclopedia,978-93-0914-498-1,Hardback,English,Publisher,VENUS BOOKS,,Upendra Shukla,10/04/2026
1802,Oru Kapata Sanyasiyude Aathmakatha(Edition8),978-81-998284-1-4,Paperback / softback,Malayalam,Publisher,Hemambika Books,,Sunil Parameshwaran,13/04/2026
1803,Greenhouse Structures for Tropical Agriculture,978-93-0916-576-4,Hardback,English,Publisher,Random Publications LLP,,Saumyavrat Nagar,10/04/2026
1804,Encyclopedia of Educational Administration,978-93-0914-580-3,Hardback,English,Publisher,VENUS BOOKS,,Umakant Upadhyay,10/04/2026
1805,Heritage Tourism: Concepts and Practices,978-93-0916-982-3,Hardback,English,Publisher,Random Publications LLP,,Vednayak Upadhyay,10/04/2026
1806,Electronic Library Management Systems,978-93-0914-671-8,Hardback,English,Publisher,VENUS BOOKS,,Umesh Tiwari,10/04/2026
1807,Educational Technology in Digital Classrooms,978-93-0914-089-1,Hardback,English,Publisher,VENUS BOOKS,,Tryambak Trivedi,10/04/2026
1808,Wildlife of the Himalayan Region,978-93-0916-035-6,Hardback,English,Publisher,Random Publications LLP,,Devkeertinath Mishra,10/04/2026
1809,Ecotourism and Capacity Building,978-93-0914-146-1,Hardback,English,Publisher,VENUS BOOKS,,Tribhuvan Pandey,10/04/2026
1810,Indian Knowledge Systems for Sustainable Development,978-93-0916-514-6,Hardback,English,Publisher,Random Publications LLP,,Tejavrat Kulshreshth,10/04/2026
1811,Contemporary Quantitative Techniques,978-93-0914-930-6,Hardback,English,Publisher,VENUS BOOKS,,Tejendra Tiwari,10/04/2026
1812,India’s Defence Diplomacy and Strategic Power,978-93-0916-737-9,Hardback,English,Publisher,Random Publications LLP,,Neeltej Shastri,10/04/2026
1813,Counter-Terrorism Strategies,978-93-0914-128-7,Hardback,English,Publisher,VENUS BOOKS,,Tejaswi Trivedi,10/04/2026
1814,Educational Psychology: Learning and Development,978-93-0916-093-6,Hardback,English,Publisher,Random Publications LLP,,Abhinavdeep Bhardwaj,10/04/2026
1815,Samudra Nian(EditionFirst),978-93-47245-83-1,Paperback / softback,Oriya,Publisher,banaphula,banaphula,Rajyabardhan Dhal Mahapatra,10/04/2026
1816,Class10 Math Solved Paper 2023(Editionnew),978-93-0924-437-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1817,Class10 Geography ICSE QB(Editionnew),978-93-0924-932-7,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1818,Class 10 paper Hindi(Editionnew),978-93-0924-089-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1819,Class10 Science Solved Paper 2020(Editionnew),978-93-0924-876-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1820,Class 12 social science unsolved(Editionnew),978-93-0924-842-9,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1821,Cbse 10 English lang&lit qb(Editionnew),978-93-0924-186-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1822,Class 12 Accounts QB ISC(Editionnew),978-93-0924-938-9,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1823,"Class-12_Mathematics_SQP_SQP-1,2_CBSE(Editionnew)",978-93-0924-267-0,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1824,hindi b smple q pap(Editionnew),978-93-0924-528-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1825,Class9 Hindi-B CBSE QB(Editionnew),978-93-0924-020-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1826,Class 10 CBSE Sanskrit Paper MS 2018(Editionnew),978-93-0924-801-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1827,Class 4 EVS (Kabaddi)(Editionnew),978-93-0924-516-9,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1828,Chemistry IAS Solved Paper 2009(Editionnew),978-93-0924-748-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1829,DPMT_Solved Paper 2004(Editionnew),978-93-0924-296-0,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1830,Paper-2 Reasonance Solutions of IIT-JEE 2007(Editionnew),978-93-0924-984-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1831,Rashayan Vigyan PET (MP) 2004 5-8(Editionnew),978-93-0924-471-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1832,Class 9 Maths Lab Mannual(Editionnew),978-93-0924-632-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1833,IIT-JEE (Screening) 2004 Rasayan Vigyan MTP(Editionnew),978-93-0924-870-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1834,Class 10 CBSE Maths Paper MS (2018)(Editionnew),978-93-0924-265-6,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1835,Biology West Bengal Jee CW Solved Paper 2005(Editionnew),978-93-0924-221-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1836,Class7 Social Science QB CBSE(Editionnew),978-93-0924-501-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1837,Class-12_General English_Solved Paper-2009_MP(Editionnew),978-93-0924-991-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1838,Class12_Bus_STD_PartI(Editionnew),978-93-0924-199-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1839,CBSE AIPM Physics Main entrance 2004 Exam(Editionnew),978-93-0924-611-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1840,Class-12_Biology_Practical_CBSE(Editionnew),978-93-0924-485-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1841,Class 9 Hindi-A CBSE QB(Editionnew),978-93-0924-667-8,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1842,Class 9 Mathematics GSEB TB Exemp. Sol. Inner(Editionnew),978-93-0924-646-3,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1843,Class 10 Paper Science and Technology(Editionnew),978-93-0924-796-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1844,Class 12 Political Science CBSE Revision Notes(Editionnew),978-93-0924-097-3,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1845,Class10 Sanskrit Solved Paper 2023(Editionnew),978-93-0924-113-0,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1846,Class 10 Geometry SSC Maharashtra(Editionnew),978-93-0924-317-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1847,Class 10 Social Science QB KSEEB SSLC(Editionnew),978-93-0924-586-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1848,"Class 4 EVS (Pani kahin jyada, kahin kam)(Editionnew)",978-93-0924-119-2,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1849,Class12 CBSE Chemistry Comptt Paper 2014(Editionnew),978-93-0924-967-9,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1850,Class 12 Mathematics QB CBSE(Editionnew),978-93-0924-647-0,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1851,Class 12 Physics CBSE Solved Paper 2009(Editionnew),978-93-0924-132-1,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1852,Solution Punjab CET Chemistry(Editionnew),978-93-0924-649-4,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1853,Class10 English Lang Solved Paper 2016(Editionnew),978-93-0924-514-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1854,Class10 Hindi ICSE QB(Editionnew),978-93-0924-402-5,Paperback / softback,English,Publisher,Oswaal Books and Learning Pvt Ltd,Oswaal Books,pjain,09/04/2026
1855,Mathematical Skills for Pharmacy,978-93-0916-624-2,Hardback,English,Publisher,Random Publications LLP,,Yashomitra Patil,10/04/2026
1856,Medical Tourism: Industry and Growth,978-93-0916-450-7,Hardback,English,Publisher,Random Publications LLP,,Ishwaresh Upadhyay,10/04/2026
1857,"Medicinal, Horticultural, and Aromatic Plants",978-93-0916-171-1,Hardback,English,Publisher,Random Publications LLP,,Raghavkeerti Chaturvedi,10/04/2026
1858,Microbial Biotechnology: Applied Microbiology,978-93-0916-785-0,Hardback,English,Publisher,Random Publications LLP,,Avneet Mishra,10/04/2026
1859,Modern Non-Lethal Weapon Systems,978-93-0916-188-9,Hardback,English,Publisher,Random Publications LLP,,Vedatma Shukla,10/04/2026
1860,Exercise Physiology: Principles and Applications,978-93-0916-054-7,Hardback,English,Publisher,Random Publications LLP,,Hemchetan Gautam,10/04/2026
1861,CRPF Constable Tradesman Guide Book,978-93-7516-041-0,Book,Hindi,Publisher,Agrawal Group of Publications,,Rahul Aggarwal,10/04/2026
1862,The Idyll of the White Lotus,978-93-7661-410-3,Paperback / softback,English,Publisher,Gyan Publishing House,,"Mabel Collins, William Q. Judge",10/04/2026
1863,Pranavam,978-81-999400-4-8,Book,Malayalam,Publisher,Aineconcept,Volga Books,Dr. Anjali Menon,17/04/2026
1864,When the Sun Moves Northward Being a Treatise on the Six Sacred Months,978-93-7661-934-4,Hardback,English,Publisher,Gyan Publishing House,,Mabel Collins,10/04/2026
1865,When the Sun Moves Northward Being a Treatise on the Six Sacred Months,978-93-7661-882-8,Paperback / softback,English,Publisher,Gyan Publishing House,,Mabel Collins,10/04/2026
1866,The Crucible,978-93-7661-084-6,Hardback,English,Publisher,Gyan Publishing House,,Mabel Collins,10/04/2026
1867,MSMEs in India(EditionFirst Edtion),978-93-5812-243-5,Paperback / softback,English,Author,Yallapragada Vidyashankar,,Yallapragada Vidyashankar,01/04/2026
1868,The Crucible,978-93-7661-432-5,Paperback / softback,English,Publisher,Gyan Publishing House,,Mabel Collins,10/04/2026
1869,Notes on the Bhagavad-Gita,978-93-7661-852-1,Hardback,English,Publisher,Gyan Publishing House,,William Q. Judge,10/04/2026
1870,Notes on the Bhagavad-Gita,978-93-7661-833-0,Paperback / softback,English,Publisher,Gyan Publishing House,,William Q. Judge,10/04/2026
1871,The Mindful Professional(Edition1),978-93-5812-352-4,Paperback / softback,English,Author,Pooja Mihani,,Pooja Mihani,16/06/2026
1872,Letters that Have Helped Me,978-93-7661-327-4,Hardback,English,Publisher,Gyan Publishing House,,Jasper Niemand (Comp.),10/04/2026
1873,Cultures of Design: Proceedings from ICDHS14 New Delhi Vol. 8 (Posters as Short Papers),978-93-5812-278-7,Book,English,Author,Saurabh Tewari,,"Saurabh Tewari, Mritunjay Kumar and Aman Rupesh Xaxa",01/04/2026
1874,Letters that Have Helped Me,978-93-7661-649-7,Paperback / softback,English,Publisher,Gyan Publishing House,,Jasper Niemand (Comp.),10/04/2026
1875,Manual for Procurement of Works 2025(EditionThird),978-81-992074-7-9,Paperback / softback,English,Publisher,Sumedha Publishing House,,Harshul Bangia,01/05/2026
1876,"6th International Conference on Intellectual Research in Science, Engineering and Management(ICIRSEM 2026)",978-81-685725-4-6,Book,English,Publisher,ST. JOSEPH COLLEGE OF ENGINEERING AND TECHNOLOGY,,"Dr.I.Neethimanickam, G.Subbulakshmi,S.Raja, V.C.Priyadharshini",30/04/2026
1877,Ralic: Rise of the Relics,978-93-5812-281-7,Book,English,Author,Shadow publisher,,Azad gupta,11/04/2026
1878,"“The Man with Many Faces”: One Life, many versions",978-93-5812-234-3,Book,English,Author,Ruksar Fatima,,Ruksar Fatima,08/04/2026
1879,ऐ पोएटिक ओडिसी: लाइफ एंड लिगेसी ऑफ डॉ जरनैल सिंह आनंद(Edition1),978-93-49184-24-4,Paperback / softback,Hindi,Publisher,Earth Vision Publications,Earth Vision Publications,शुचि शर्मा,15/04/2026
1880,Shri Guru Mustureshwara Swamiya Bhakti Geethegala Bhandara,978-93-5812-260-2,Paperback / softback,Kannada,Author,PRASHANTH KUMAR G N,,"Shri PRASHANTH KUMAR G N, Shri Lingarya G V,Shri Manoj R, Shri Sharath G M",29/04/2026
1881,Power Behind the Podium,978-93-5812-398-2,Book,English,Author,sahrudai sunkara,,sahrudai sunkara,06/04/2026
1882,RPSC GRADE 1 PHYSICS PYQ,978-93-5812-298-5,Book,Hindi,Author,RAJESH CHOUDHARY,,RAJESH CHOUDHARY,11/04/2026
1883,The Only Menopause Book Youll Ever Need: Master Menopause Before It Masters You,978-93-5812-411-8,Paperback / softback,English,Author,Kanchan Kaur Sodi,,Alina Sage,13/04/2026
1884,Smart Teaching: Professional Skills for Educators,978-93-5812-280-0,Book,English,Author,IRSHAD P,,IRSHAD P,01/05/2026
1885,Grihasth Bal Brahmachari,978-81-69332-40-8,Paperback / softback,Hindi,Publisher,NEXUS ENTERPRISE,,"Shrimati Vibha Mishra, Shrimati Shruti Mishra",10/04/2026
1886,Norwegian Nadodikkathakal(Edition1),978-93-92231-95-7,Paperback / softback,Malayalam,Publisher,V C Thomas Editions,V C Thomas Editions,Peter Christen Asbjørnsen and Jørgen Moe,12/04/2026
1887,Let’s Play with Organic Reaction Mechanisms,978-93-5779-385-8,Paperback / softback,English,Author,Giriraj Vishwakarma,,Giriraj Kumar Vishwakarma,31/05/2026
1888,Textbook of Biostatistics(Edition1st),978-81-998684-6-5,Paperback / softback,English,Publisher,Wainganga Publications,,"Dr.Durgesh Agase, Mr. Harsh Tiwari,Muskan Vaidya, Aman Rahangdale",10/04/2026
1889,Kuronas,978-93-48641-98-4,Book,Tamil,Publisher,Her Stories,Her Stories,T Tara Devi,01/04/2024
1890,Karaikkal Ammaiyum Puthiya Thalaimuraiyum,978-93-5810-049-5,Book,Tamil,Author,SUBRAMANIAM.R,,SUBRAMANIAM.R,09/04/2026
1891,Molecular Plant Breeding and Genomic Selection for Crop Improvement,978-81-69334-38-9,Paperback / softback,English,Publisher,Golden Leaf Publishers,,"Dr. Anu Naruka, Dr. Walunjkar Babasaheb C., Prof. Ashish N. Sahane, Nirmal Carpenter, Vaibhav Satish Waghe",14/04/2026
1892,Lacrosse Rulebook,978-93-5812-259-6,Paperback / softback,Marathi,Author,mukund rahul chavan,,mukund rahul chavan,01/04/2026
1893,The Secret Startup,978-81-685555-0-1,Book,English,Publisher,Bookosmia Private Limited,,Jeevasini Patnana,15/04/2026
1894,Revolutionizing Logistics and Supply Chains: The E-Commerce Influence on Efficiency and Agility,978-93-5879-709-1,Book,English,Publisher,REDSHINE Publication,,"Ms. Harshita Gaikwad, Mr. Santosh Gaikwad",01/04/2026
1895,"Logistics and Supply Chain Management: Strategies, Technologies, and Case Studies",978-93-5879-431-1,Book,English,Publisher,REDSHINE Publication,,Ms. Harshita Santosh Gaikwad,01/04/2026
1896,Harano Shoishob(Edition1st),978-81-685581-6-8,Paperback / softback,Bengali,Publisher,Kheya Tori Prokashani,,Chayan Mallick,13/04/2026
1897,Ghorer Prohor(Edition1st),978-81-685581-7-5,Paperback / softback,Bengali,Publisher,Kheya Tori Prokashani,,Chiroshree Singha,13/04/2026
1898,Kabitar Shat Prahar(Edition1st),978-81-685581-5-1,Hardback,Bengali,Publisher,Kheya Tori Prokashani,,Amiyatosh Ghosh,13/04/2026
1899,पर्यावरण विज्ञान और पारिस्थितिकी,978-93-5812-094-3,Book,Hindi,Author,डॉ. आकाश एस्के,,डॉ. आकाश एस्के,30/04/2026
1900,"Human Values and Ethics: Principles, Perspectives and Practice(EditionFirst)",978-93-47486-15-9,E-book reader,English,Publisher,ISRI Press,,"Mahendran Jayaraman, Syed Abudaheer K",25/04/2026
1901,"Human Values and Ethics: Principles, Perspectives and Practice(EditionFirst)",978-93-47486-96-8,Paperback / softback,English,Publisher,ISRI Press,,"Mahendran Jayaraman, Syed Abudaheer K",25/04/2026
1902,Bhayankar Atanke Sundarban(Edition1st),978-81-685581-2-0,Paperback / softback,Bengali,Publisher,Kheya Tori Prokashani,,Pijush Kanti Naskar,13/04/2026
1903,नर्सिंग ऑफिसर और सिस्टर ट्यूटर(Edition1st),978-93-49678-06-4,Book,Hindi,Publisher,shree kabir publication,,"Sanjay Dangi, Babulal Dangi",01/05/2026
1904,MATHEMATICS FOUNDATION FOR LITTLE CADETS,978-93-5812-351-7,Book,English,Author,Monika,,Monika,20/04/2026
1905,समानता के पुरोधा : श्रीराम,978-93-5949-627-6,Book,Hindi,Publisher,Sadhana Kunj Publication,,Dr. Chintamani Rathore,10/04/2026
1906,शिक्षा का भारतीयकरण,978-93-5949-338-1,Book,Hindi,Publisher,Sadhana Kunj Publication,,Dr. Chintamani Rathore,10/04/2026
1907,"Agriculture Capsule Series : Quick Revision notes for ICAR ASRB Net JRF SRF, All Agricultural exams Detail explanations of PYQs",978-93-5812-395-1,Paperback / softback,English,Author,Shiv Mani Dwivedi,,Shiv Mani Dwivedi,14/04/2026
1908,Redemption Awaits: The Awakening(Edition4),978-93-7752-860-7,Digital online,English,Publisher,Ukiyoto Publishing (Isekai Labs LLP),,Ralph Cole,09/04/2026
1909,Redemption Awaits: The Awakening(Edition1),978-93-7752-280-3,Paperback / softback,English,Publisher,Ukiyoto Publishing (Isekai Labs LLP),,Ralph Cole,09/04/2026
